Num  Name,Epoch,q,e,i,w,Node,Tp,Ref,
C/2005 F1 (SOHO),53447,0.0055,1,144.16,76.58,359.66,20050318.17,SAO,_2008
C/2005 F2 (SOHO),53448,0.0067,1,144.2,73.01,359.46,20050319.32,SAO,_2008
C/2005 F3 (SOHO),53457,0.0049,1,143.96,76.99,350.21,20050328.35,SAO,_2008
C/2005 F4 (SOHO),53458,0.0068,1,144.14,76.21,1.21,20050329.14,SAO,_2008
C/2005 F5 (SOHO),53458,0.0051,1,144.09,79.67,0.74,20050328.99,SAO,_2008
C/2005 G1 (LINEAR),53599,4.96079827,0.99973545,108.41395,113.81022,299.58901,20060227.26,JPL,31
C/2005 G2 (SOHO),53474,0.0492,1,26.84,23.53,80.69,20050414.26,SAO,_2008
C/2005 G3 (SOHO),53465,0.0091,1,136.42,57.03,334.27,20050404.76,SAO,_2008
C/2005 G4 (SOHO),53469,0.0051,1,144.19,79.88,350.04,20050408.54,SAO,_2008
C/2005 G5 (SOHO),53470,0.0051,1,143.61,81.54,3.14,20050410.29,SAO,_2008
C/2005 G6 (SOHO),53472,0.0048,1,144.05,78.85,0.57,20050412.05,SAO,_2008
C/2005 G7 (SOHO),53475,0.0049,1,143.44,80.23,2.54,20050414.53,SAO,_2008
P/2005 GF8 (LONEOS),53497,2.82950736,0.51730239,1.18938,285.3138,315.20001,20050817.56,JPL,14
C/2005 H1 (LINEAR),53518,4.76856213,0.89691125,81.51213,95.21166,71.49089,20041028.52,JPL,22
C/2005 H2 (SOHO),53478,0.0362,1,78.83,58.78,72.43,20050417.81,SAO,_2008
C/2005 H3 (SOHO),53483,0.0049,1,143.82,80.54,2.45,20050422.7,SAO,_2008
C/2005 H4 (SOHO),53482,0.0051,1,143.18,80.9,2.71,20050422.32,SAO,_2008
C/2005 H5 (SOHO),53485,0.0052,1,144.13,85.94,8.18,20050425.23,SAO,_2008
C/2005 H6 (SOHO),53485,0.0049,1,138.19,46.95,309.11,20050425.38,SAO,_2008
C/2005 H7 (SOHO),53486,0.0127,1,73.07,125.91,354.66,20050425.6,SAO,_2008
C/2005 H8 (SOHO),53487,0.0051,1,145.75,84.31,0.59,20050426.65,SAO,_2008
C/2005 H9 (SOHO),53489,0.0352,1,73.54,57.77,73.96,20050429.03,SAO,_2008
P/2005 JN (Spacewatch),53498,2.27577944,0.3493727,8.85595,153.61113,70.80422,20050620.26,JPL,13
P/2005 J1 (McNaught),53524,1.53014569,0.57096072,31.76593,338.92288,268.84119,20050417.31,JPL,13
C/2005 J2 (Catalina),53517,4.28743862,1,150.8029,199.63964,33.36938,20050404.27,JPL,4
C/2005 J3 (SOHO),53493,0.0051,1,144.25,79.6,0.41,20050503.28,SAO,_2008
C/2005 J4 (SOHO),53496,0.0051,1,146.7,80.85,356.52,20050506.17,SAO,_2008
C/2005 J5 (SOHO),53499,0.005,1,144.14,88.84,12.3,20050509.41,SAO,_2008
C/2005 J6 (SOHO),53501,0.0055,1,142.26,84.45,9.26,20050510.99,SAO,_2008
C/2005 J7 (SOHO),53502,0.0049,1,143.58,82.77,4.84,20050512.1,SAO,_2008
C/2005 J8 (SOHO),53503,0.0051,1,144.05,83.71,4.37,20050513.12,SAO,_2008
C/2005 J9 (SOHO),53505,0.0051,1,143.6,94.61,17.07,20050514.52,SAO,_2008
C/2005 J10 (SOHO),53505,0.0051,1,143.02,84.6,9.56,20050514.94,SAO,_2008
C/2005 J11 (SOHO),53506,0.0051,1,142.69,84.09,7.81,20050515.62,SAO,_2008
C/2005 J12 (SOHO),53506,0.0051,1,142.89,84.72,7.95,20050516.32,SAO,_2008
P/2005 JD108 (Catalina-NEAT),53772,4.02887899,0.37472665,3.27533,90.33489,224.30399,20050810.54,JPL,26
C/2005 K1 (Skiff),53602,3.69291396,1.00329092,77.74759,134.93862,106.30499,20051121.19,JPL,41
C/2005 K2 (LINEAR),53510,0.76760435,1,89.6297,197.70619,61.56636,20050623.09,JPL,11
C/2005 K2-A (LINEAR),53529,0.54459171,1,102.04531,216.57837,45.71218,20050705.39,JPL,8
C/2005 K4 (SOHO),53506,0.0373,1,73.25,56.47,74.48,20050516.37,SAO,_2008
C/2005 K5 (SOHO),53509,0.0051,1,142.25,85.1,9.16,20050519.09,SAO,_2008
C/2005 K6 (SOHO),53511,0.0051,1,143.85,81.1,2,20050520.55,SAO,_2008
C/2005 K7 (SOHO),53511,0.005,1,142,93.28,17.59,20050520.95,SAO,_2008
C/2005 K8 (SOHO),53511,0.0051,1,144.36,84.12,6.51,20050520.92,SAO,_2008
C/2005 K9 (SOHO),53518,0.0354,1,73.06,56.89,74.47,20050528.22,SAO,_2008
C/2005 K10 (SOHO),53521,0.0049,1,140.99,91.6,15.81,20050530.88,SAO,_2008
P/2005 L1 (McNaught),53550,3.14283869,0.20924072,7.73686,149.55734,138.33005,20051213.09,JPL,17
C/2005 L2 (McNaught),53612,3.19389558,1,152.7638,294.24404,155.88399,20050714.5,JPL,10
C/2005 L3 (McNaught),54727,5.59362188,0.99958233,139.44925,47.1336,288.7398,20080116.34,JPL,217
C/2005 L5 (SOHO),53523,0.005,1,142.27,93.94,18.49,20050601.97,SAO,_2008
C/2005 L6 (SOHO),53527,0.0049,1,146.03,53.94,330.17,20050606.16,SAO,_2008
C/2005 L7 (SOHO),53528,0.0046,1,144.13,78.82,358.74,20050607.37,SAO,_2008
C/2005 L8 (SOHO),53528,0.0052,1,135.79,100.11,29.42,20050606.53,SAO,_2008
C/2005 L9 (SOHO),53528,0.0043,1,143.74,82.43,3.08,20050607.41,SAO,_2008
C/2005 L10 (SOHO),53531,0.0073,1,128.3,107.42,40.68,20050610.03,SAO,_2008
C/2005 L11 (SOHO),53532,0.0048,1,143.83,83.24,3.97,20050610.58,SAO,_2008
